condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,6.0,4,1.0,1,Zugaro_ripple_detector,0.009830874972976744,39,,0.975,1.0,22.87991459200711,-23.971401959560268,,
ripples,6.0,4,1.0,1,Long_sharp_wave_ripple_detector,0.17152837495086715,43,,0.95,0.8837209302325582,20.733419783852014,-22.20627657207075,,
ripples,6.0,4,1.0,1,Carey_candidate_detector,0.1558852499583736,40,,1.0,1.0,0.8925213051966807,0.46039009459875047,,
ripples,6.0,4,1.0,1,multiunit_HSE_detector,0.07227100001182407,51,,1.0,0.7843137254901961,-16.680403148341405,14.12102463110898,,
ripples,6.0,4,1.0,2,Kay_ripple_detector,0.025199541996698827,41,,1.0,0.975609756097561,9.173959175383217,-6.3626041636304365,,
ripples,6.0,4,1.0,2,Karlsson_ripple_detector,0.04559841699665412,40,,1.0,1.0,0.8101763411829666,1.9167600593128498,,
ripples,6.0,4,1.0,2,Roumis_ripple_detector,0.033416999969631433,42,,1.0,0.9523809523809523,9.507292508716958,-5.97622765880601,,
ripples,6.0,4,1.0,2,Shvartsman_ripple_detector,0.044122416991740465,40,,1.0,1.0,0.8101763411829666,1.9167600593128498,,
ripples,6.0,4,1.0,2,Yu_ripple_detector,0.050592207990121096,57,,1.0,0.7017543859649122,10.01358719642198,-7.2629641560642,,
ripples,6.0,4,1.0,2,Zugaro_ripple_detector,0.009377416979987174,40,,1.0,1.0,21.587090071129467,-20.016608839881656,,
ripples,6.0,4,1.0,2,Long_sharp_wave_ripple_detector,0.16930537502048537,43,,0.95,0.8837209302325582,17.458365713075352,-15.031927985177163,,
ripples,6.0,4,1.0,2,Carey_candidate_detector,0.1561319589964114,40,,1.0,1.0,1.1301132782577383,2.0840089020826014,,
ripples,6.0,4,1.0,2,multiunit_HSE_detector,0.07400158303789794,44,,1.0,0.9090909090909091,-13.019628049477205,10.38046828795558,,
ripples,6.0,16,1.0,0,Kay_ripple_detector,0.07287912495667115,43,,1.0,0.9302325581395349,4.245097043735768,-7.289312416821403,,
ripples,6.0,16,1.0,0,Karlsson_ripple_detector,0.1745686670183204,42,,1.0,0.9523809523809523,-19.52958352948997,23.6613631386291,,
ripples,6.0,16,1.0,0,Roumis_ripple_detector,0.12915862497175112,43,,1.0,0.9302325581395349,4.245097043735768,-6.908174784420407,,
ripples,6.0,16,1.0,0,Shvartsman_ripple_detector,0.1722245829878375,40,,1.0,1.0,-19.52958352948997,23.6613631386291,,
